Name,Id,City,Zipcode,Address,Website,Email,Phone,Company Type,Postal Address, description,Twitter, Linkedin, Lognitude,Latitude,,,,,,,,,,,,
Wiljo Financieel Adviesbureau,31690,HOOFDDORP,2132HN,Planetenweg,www.wiljo.net,info@wiljo.net,235553160,managerial,Meermanstraat 67,b'',,,4.70208,52.2945807,,,,,,,,,,,,
B6 Administratie,31747,NIEUW-VENNEP,2151GZ,Laan van Chopin,www.b6administratie.nl,info@b6administratie.nl,0252-865666,managerial,Postbus 262,"b""B6 Administratie is een administratiekantoor met meerdere vestigingen in Nederland.\xc2\xa0Met behulp van onze 'financi\xc3\xable spiegel' zijn al vele ondernemers in staat gebleken veel optimaler te presteren omdat ze door de rapportages en analyses van de 'B6-controller' precies weten waaraan gewerkt moet worden. Het is onze missie om uw bedrijf te laten profiteren van onze \xe2\x80\x98B6-vitaminen\xe2\x80\x99.""",,https://www.linkedin.com/company/b6-administratie?trk=nav_account_sub_nav_company_admin,4.617462857,52.26964286,,,,,,,,,,,,
B&B Administraties en Belastingen,31749,NIEUW-VENNEP,2151CA,Sportveldweg,,benb@administratiesenbelastingen.nl,0252-625000,managerial,Sportveldweg 21,b'B&amp;B administraties en belastingen is een kleinschalig\r\nen informeel kantoor dat zich richt op het midden en kleinbedrijf. Naast het\r\nverzorgen van uw complete administraties salarisverwerking en aangiften\r\nomzet- vennootschaps en inkomstenbelasting bieden wij ook bedrijfseconomische\r\nen fiscale adviezen aan.\r\n\r\nOnze werkwijze kenmerkt zich door korte lijnen en\r\npersoonlijke aandacht voor de ondernemer. Onze betrokkenheid gaat verder dan\r\nalleen maar het inboeken van uw financi\xc3\xable stukken. Wij hebben ruime kennis en\r\nervaring met alles wat bij het ondernemen komt kijken en kunnen u begeleiden\r\nbij de groei van uw onderneming. Waar nodig werken wij ook samen met externe\r\nspecialisten. \r\n\r\nOnze klantenkring is zeer gevarieerd en bestaat uit\r\nondernemingen binnen vele branches. Maar ook als ZZP-er of particulier kunt u\r\nuitstekend bij ons terecht.\r\n\r\nWij zijn aangesloten bij de Nederlandse Orde van\r\nAdministratie en Belastingdeskundigen (N.O.A.B.) hierdoor waarborgen wij\r\nkwaliteit en deskundigheid.',@marc_boerop,,4.621974444,52.26876111,,,,,,,,,,,,
AdminiFisca,31752,NIEUW-VENNEP,2151GE,Bachlaan,www.adminifisca.nl,info@adminifisca.nl,06-10348703,managerial,Bachlaan 28,b'AdminiFisca is een administratie- en belastingadvieskantoor en richt zich op startende ondernemers zzp\xe2\x80\x99ers mkb-ondernemers alsmede particulieren in de regio Haarlemmermeer Duin- en Bollenstreek Zuid-Kennemerland en omgeving.  AdminiFisca onderscheidt zich door het persoonlijk contact met zijn cli\xc3\xabnten. Een \xe2\x80\x9cgoede klik\xe2\x80\x9d vinden we belangrijk want we zijn graag nauw betrokken bij uw onderneming. Zo kunnen we snel inspelen op uw vragen en op nieuwe ontwikkelingen en pro-actief met u meedenken. Het nakomen van afspraken zien wij als vanzelfsprekend.  AdminiFisca is lid van het Register Belastingadviseurs een vereniging van gecertificeerde belastingadviseurs. Dat staat garant voor het leveren van kwaliteit. Leden van het Register Belastingadviseurs zijn verplicht zich permanent te scholen zodat actualiteit van kennis altijd gewaarborgd is. Zo bent u er altijd van verzekerd dat onze adviezen gebaseerd zijn op de meest recente ontwikkelingen op fiscaal gebied.',https://twitter.com/iwankoning,https://nl.linkedin.com/in/iwankoning,4.613405,52.26629375,,,,,,,,,,,,
Administratiekantoor B&O,31975,UTRECHT,3523PM,Impalastraat,,tovik1@hotmail.com,4234,managerial,Impalastraat 97,b'',,,5.1343275,52.0725375,,,,,,,,,,,,
Administratiekantoor J + R. van der Bruggen,32026,UTRECHT,3553RZ,Swammerdamstraat,Www.administratievdbruggen.nl,info@administratievdbruggen.nl,030-2420500,managerial,Swammerdamstraat 78,b'Administratiekantoor Van der BruggenDe Betrouwbare Brug tussen uw Bedrijf en de Belasting<strong>Elke werkzaamheid die u afleidt van uw core business verdient uitbesteding. Steeds meer MKB bedrijven zien dit in en besparen tijd en geld door de inschakeling van Administratiekantoor Van der Bruggen.</strong><strong>Meer rendement door centrale regie</strong>Onder \xc3\xa9\xc3\xa9n centrale regie regelen wij uw administratie jaarverslag aangifte inkomstenbelasting en aangifte vennootschapsbelasting. Ook adviseren wij u bij het opstellen van uw ondernemingsplan en geven we advies.<strong>Speciaal voor starters en doorstarters</strong>Vooral startende of doorstartende ondernemers zijn bij ons specialistische advies gebaat. Met onze ruime ervaring omzeilen wij voor hen valkuilen en helpen we doelen te realiseren. Wij begrijpen dat u als startende of doorstartende ondernemer niet meteen alle fijne kneepjes van het vak onder de knie heeft. Wij helpen u hier graag bij.<strong>Aantoonbaar resultaat</strong>Sinds 1981 zijn talloze ondernemers met onze deskundige begeleiding hun bedrijf gestart. Ruim 96% deed dit door onze begeleiding met succes. Een aantal bedrijven bestaat zelfs al meer dan 20 jaar. Andere ondernemers hebben hun onderneming inmiddels met een aanzienlijke opbrengst verkocht.<strong>Puur</strong><strong>persoonlijk</strong>U krijgt \xc3\xa9\xc3\xa9n van onze ervaren medewerkers toegewezen als vaste contactpersoon. Die directe band voorkomt het voortdurend opnieuw uitleggen van zaken. Een effici\xc3\xabnte methode die u direct toegang geeft tot snel en solide advies.',,,5.084395909,52.11195,,,,,,,,,,,,
TAFKA Belastingadviseurs,32130,ZEIST,3705 LP,Dijnselburgerlaan ,www.tafka.nl,h.kwant@tafka.nl,088-966 4 669,managerial,Postbus 1054,b'Dat staat vast!\t\t\t\t\t\t\tLeuker kunnen ook wij het niet maken\xe2\x80\xa6Wel goedkoper professioneler duidelijker persoonlijker en als een hele zorg minder.Je haalt het beste uit jezelf elke dag opnieuw. Op een ondernemende manier doen waar je goed in bent zonder je bezig te hoeven houden met bijkomende zaken als administratie en belastingen. Dat wil toch iedereen?Welkom bij TAFKA Belastingadviseurs.Bij ons bent u hoe dan ook aan het juiste adres. Of het nu gaat om een grotere organisatie om uw eenmanszaak of wanneer u als particulier overzicht wilt houden wij nemen de zorg om cijfers volledig van u over. Niet alleen op fiscaal gebied maar ook op het terrein van administratie controlling en debiteurenbeheer ontzorgen wij waardoor u de ruimte houdt om te doen waar \xc3\xba het beste in bent. Ieder z\xe2\x80\x99n vak tenslotte!De unieke formule van TAFKA staat voor duidelijkheid voor vooraf weten waar u aan toe bent. Als klant wilt u kunnen vertrouwen op onze expertise en wilt u daarnaast duidelijkheid over de kosten. Daar kunnen we helder over zijn: bij TAFKA baseren wij onze persoonlijke professionele&nbsp; dienstverlening op \xc3\xa9\xc3\xa9n vaste prijs. Geen onduidelijke facturen achteraf; bij ons weet u op voorhand wat u mag verwachten. In de praktijk zult u merken dat u als onze klant zo\xe2\x80\x99n 20 tot 40% op uw accountantskosten kunt besparen. Flexibel en betrouwbaar met oog voor de grote lijn en gevoel voor detail dat zijn de adviseurs van TAFKA. U kunt op ons rekenen!TAFKA verhelderend \xe2\x80\xa6',,,5.2557669,52.1016161,,,,,,,,,,,,
Admiprofs,32158,BILTHOVEN,3721TJ,P.C. Staalweg,http://www.admiprofs.nl/,info@admiprofs.nl,030-7525757,managerial,Postbus 604,b'Klanten van administratiekantoor Admiprofs hebben geen omkijken meer naar hun administratie en belastingzaken. Administratiekantoor Admiprofs ontzorgt compleet en werkt op een proactieve manier met je samen.',,,5.178154375,52.12091875,,,,,,,,,,,,
10e penning administraties,32182,MAARTENSDIJK,3738WH,Maalsteen,,tovik1@hotmail.com,641071646,accounting,Maalsteen 16,b'',,,5.175256,52.15213,,,,,,,,,,,,
JTV Finance,32314,AMERSFOORT,3824HW,Grote Poelslak,,None,06-16541212,managerial,Grote Poelslak 12,b'',,,5.371182692,52.20131923,,,,,,,,,,,,
Goudvink Advies,32362,VEENENDAAL,3906AK,Goudvink,www.goudvinkadvies.nl,aar@solcon.nl,0315 503568,managerial,Postbus 198,b'',,,5.52935537,52.03099259,,,,,,,,,,,,
MKB assist,32539,HOUTEN,3995AA,Standerdmolen 10 B,www.mkbassist.nl,a.vd.weijden@mkbassist.nl,030-6373286,managerial,Standerdmolen 8-202,b'',,,5.17222,52.02997,,,,,,,,,,,,
JAN© Accountants en Belastingadviseurs,32645,RIJNSBURG,2231AG,Rijnsburgerweg,http://www.jan.nl/,communicatie@jan.nl,882202200,accounting,Postbus 148,b'JAN\xc2\xa9 ONTZORGT EN HELPT JE VOORUIT OP ELK GEBIED!<strong>JAN\xc2\xa9 begrijpt waar je als ondernemer mee worstelt. Van alles komt op je af: klanten werknemers de belastingdienst regelgeving financiering strategie... JAN\xc2\xa9 luistert naar je geeft je inzicht in de processen binnen je bedrijf en stroomlijnt ze. En met passie en zijn kennis helpt JAN\xc2\xa9 je vooruit op elk denkbaar gebied.</strong>JAN\xc2\xa9 heeft fiscale specialisten die voorkomen dat je teveel belasting betaalt zorgt voor een vlekkeloos personeelsbeleid regelt je salarisadministratie en springt in de bres bij juridische kwesties. JAN\xc2\xa9 is als een vis in het water op het gebied van bedrijfsverkoop en -overnames speelt een belangrijke rol bij financieringen en hij maakt zich sterk voor je pensioen. Bovendien helpt hij bij het optimaliseren van je bedrijfsvoering. En... JAN\xc2\xa9 is ook je accountant: je boekhouding jaarrekening en aangiftes verzorgt hij tot in de puntjes.<strong>Bij JAN\xc2\xa9 vind je alles om van je bedrijf een succesvolle onderneming te maken!</strong>',https://twitter.com/JAN_Advies,https://www.linkedin.com/company/jan-accountants-&-belastingadviseurs,4.448453824,52.18482059,,,,,,,,,,,,
Baker Tilly Berk Den Haag,32657,'S-GRAVENHAGE,2517KZ,Scheveningseweg -82,None,rderaad@gmail.com,None,accounting,Postbus 85745,b'None',None,None,4.282346667,52.09856667,,,,,,,,,,,,
Baker Tilly Berk Rotterdam,32672,ROTTERDAM,3062ME,Lichtenauerlaan,www.bakertillyberk.nl,p.perdijk@bakertillyberk.nl,102539000,accounting,Postbus 8545,b'Baker Tilly Berk bestond in 2014 100 jaar. Sinds de oprichting in 1914 zijn we uitgegroeid tot een organisatie met 18 vestigingen ruim 700 medewerkers (660 medewerkers en 42 partners) en een omzet van \xe2\x82\xac 814 miljoen (2014). We behoren tot de grotere accountants- en belastingadvieskantoren van Nederland. Baker Tilly Berk is niet alleen actief op het gebied van accountancy en belastingadvies. U kunt bij ons ook terecht voor bedrijfsjuridisch advies IT advisory corporate finance interim solutions risk &amp; performance management en subsidie-audits.Een goede financi\xc3\xable administratie is de basis voor het bijsturen groeien en gezond houden van uw onderneming. Met de jaarrekening en het jaarverslag informeert u uw belanghebbenden bijvoorbeeld uw klanten en andere ge\xc3\xafnteresseerden over de ontwikkelingen binnen uw familiebedrijf&nbsp;of mkb.  <strong>Wat doet de adviseur voor u?</strong>De accountants van Baker Tilly Berk bieden hulp in de vorm die bij u en uw onderneming past. Zij denken mee met alle mogelijke vraagstukken binnen uw bedrijf. Geen familiebedrijf of mkb-onderneming is immers hetzelfde.Onze adviseurs helpen u bij de volgende aspecten:<ul><li>het samenstellen van de jaarrekening;</li><li>het controleren van de jaarrekening;</li><li>het bijhouden van de (complete) financi\xc3\xable administratie;</li><li>administratieve ondersteuning bij uw salarisverwerking;</li><li>het inrichten en beoordelen van uw&nbsp; administratieve organisatie.</li></ul>U kunt kiezen of u deze bedrijfsadvisering&nbsp;geheel of gedeeltelijk aan ons wilt uitbesteden.Kortom: Wij leveren toegevoegde waarde en stellen samen met de ondernemer een maatwerkpakket samen voor onze dienstverlening. Interesse? Neem geheel vrijblijvend contact met ons op.',,,4.534500297,51.92360594,,,,,,,,,,,,
Alfa Accountants en Adviseurs,32703,NIJKERK GLD,3863HW,Van Siburgstraat -4,None,pokken@alfa-accountants.nl,None,accounting,Postbus 1116,b'None',None,None,5.46303,52.20876667,,,,,,,,,,,,
HLB Van Daal & Partners N.V.,32752,TILBURG,5015TB,Zuiderkruisweg,www.hlb-van-daal.nl,tilburg@hlb-van-daal.nl,013-4677533,accounting,Postbus 588,b'HLB Van Daal &amp; Partners is een deskundige en inspirerende accountants- en belastingadviesorganisatie met een dienstenpakket dat naadloos aansluit bij de behoefte van ondernemers binnen het MKB in Brabant en Limburg.Kennis van zaken en maximale inzet van ons regionale team en wereldwijde netwerk daar kunt u op vertrouwen!',None,None,5.112318333,51.58223333,,,,,,,,,,,,
HLB Van Daal & Partners N.V.,32754,DONGEN,5102AC,Lage Ham,www.hlb-van-daal.nl,dongen@hlb-van-daal.nl,0162-322000,accounting,Postbus 250,b'HLB Van Daal &amp; Partners is een deskundige en inspirerende accountants- en belastingadviesorganisatie met een dienstenpakket dat naadloos aansluit bij de behoefte van ondernemers binnen het MKB in Brabant en Limburg.Kennis van zaken en maximale inzet van ons regionale team en wereldwijde netwerk daar kunt u op vertrouwen!',None,None,4.933514286,51.63456071,,,,,,,,,,,,
HLB Van Daal & Partners N.V.,32760,'S-HERTOGENBOSCH,5216PR,Pettelaarpark,www.hlb-van-daal.nl,denbosch@hlb-van-daal.nl,073-5494410,accounting,Postbus 150,b'HLB Van Daal &amp; Partners is een deskundige en inspirerende accountants- en belastingadviesorganisatie met een dienstenpakket dat naadloos aansluit bij de behoefte van ondernemers binnen het MKB in Brabant en Limburg.Kennis van zaken en maximale inzet van ons regionale team en wereldwijde netwerk daar kunt u op vertrouwen!',None,None,5.333836364,51.679,,,,,,,,,,,,
HLB Van Daal & Partners N.V.,32763,OSS,5344AT,Obrechtstraat,www.hlb-van-daal.nl,oss@hlb-van-daal.nl,0412-632070,accounting,Postbus 266,b'HLB Van Daal &amp; Partners is een deskundige en inspirerende accountants- en belastingadviesorganisatie met een dienstenpakket dat naadloos aansluit bij de behoefte van ondernemers binnen het MKB in Brabant en Limburg.Kennis van zaken en maximale inzet van ons regionale team en wereldwijde netwerk daar kunt u op vertrouwen!',None,None,5.515998519,51.75943333,,,,,,,,,,,,
HLB Van Daal & Partners N.V.,32768,UDEN,5404NJ,Losplaats -20,www.hlb-van-daal.nl,uden@hlb-van-daal.nl,0413-700122,accounting,Losplaats 18-20,b'HLB Van Daal &amp; Partners is een deskundige en inspirerende accountants- en belastingadviesorganisatie met een dienstenpakket dat naadloos aansluit bij de behoefte van ondernemers binnen het MKB in Brabant en Limburg.Kennis van zaken en maximale inzet van ons regionale team en wereldwijde netwerk daar kunt u op vertrouwen!',None,None,5.622494286,51.65507143,,,,,,,,,,,,
HLB Van Daal & Partners N.V.,32769,GEMERT,5422VH,Dommel,www.hlb-van-daal.nl,gemert@hlb-van-daal.nl,0492-361248,accounting,Postbus 92,b'HLB Van Daal &amp; Partners is een deskundige en inspirerende accountants- en belastingadviesorganisatie met een dienstenpakket dat naadloos aansluit bij de behoefte van ondernemers binnen het MKB in Brabant en Limburg.Kennis van zaken en maximale inzet van ons regionale team en wereldwijde netwerk daar kunt u op vertrouwen!',None,None,5.704529355,51.56348387,,,,,,,,,,,,
HLB Van Daal & Partners N.V.,32772,SCHIJNDEL,5482VS,Nieuwe Eerdsebaan,www.hlb-van-daal.nl,schijndel@hlb-van-daal.nl,073-5474947,accounting,Nieuwe Eerdsebaan 14,b'HLB Van Daal &amp; Partners is een deskundige en inspirerende accountants- en belastingadviesorganisatie met een dienstenpakket dat naadloos aansluit bij de behoefte van ondernemers binnen het MKB in Brabant en Limburg.Kennis van zaken en maximale inzet van ons regionale team en wereldwijde netwerk daar kunt u op vertrouwen!',None,None,5.461528571,51.613,,,,,,,,,,,,
De Vries & Partners Accountants,32774,Eindhoven,5632 EE,Mercuriuslaan 1c,,ton@bedrijfsadvisering-vvl.nl,06 22802059,accounting,Markt 5,b'',,,5.4900864,51.4665453,,,,,,,,,,,,
HLB Van Daal & Partners N.V.,32801,GELEEN,6162AB,Rijksweg Noord,www.hlb-van-daal.nl,geleen@hlb-van-daal.nl,046-4749440,accounting,Rijksweg Noord 45,b'HLB Van Daal &amp; Partners is een deskundige en inspirerende accountants- en belastingadviesorganisatie met een dienstenpakket dat naadloos aansluit bij de behoefte van ondernemers binnen het MKB in Brabant en Limburg.Kennis van zaken en maximale inzet van ons regionale team en wereldwijde netwerk daar kunt u op vertrouwen!',None,None,5.833999846,50.97157385,,,,,,,,,,,,
HLB Van Daal & Partners N.V.,32804,CADIER EN KEER,6267CW,Raadhuisplein,www.hlb-van-daal.nl,cadier@hlb-van-daal.nl,043-8800400,accounting,Raadhuisplein 1,b'HLB Van Daal &amp; Partners is een deskundige en inspirerende accountants- en belastingadviesorganisatie met een dienstenpakket dat naadloos aansluit bij de behoefte van ondernemers binnen het MKB in Brabant en Limburg.Kennis van zaken en maximale inzet van ons regionale team en wereldwijde netwerk daar kunt u op vertrouwen!',None,None,5.767960476,50.82827143,,,,,,,,,,,,
Alfa Accountants en Adviseurs,32816,WAGENINGEN,6708PV,Agro Business Park -87,www.alfa.nl,wageningen@alfa.nl,088 2531000 ,accounting,Postbus 12,b'Financi\xc3\xable dienstverlening is een speelveld dat continu verandert. Daarom vindt u bij Alfa ruim 750 specialisten verdeeld over 27 kantoren door geheel Nederland. Alfa is gespecialiseerd in het midden- en kleinbedrijf en de agrarische sector. Iedere medewerker heeft veel kennis en ervaring op het gebied van accountancy belastingen salaris en personeel subsidies bedrijfsadvisering financi\xc3\xable dienstverlening en alles wat daarmee verband houdt.&nbsp;&nbsp;<b>Wat kunnen we voor u doen?&nbsp;</b>Alfa biedt u een scala aan diensten zoals de controle van uw jaarrekening de financi\xc3\xable administratie fiscaal-juridische zaken subsidies en adviezen over salaris en personeel. Welke vraag u ook heeft u kunt altijd rekenen op (financieel) advies op topniveau.',@alfaaccountants,,5.647819583,51.9761375,,,,,,,,,,,,
Flynth Adviseurs en Accountants,32837,RAALTE,8103PA,Arkelstein,,arjan.jongkind@flynth.nl,,accounting,Postbus 9221,b'None',None,None,6.270846667,52.4003,,,,,,,,,,,,
Accountantskantoor Hendriksen B.V.,32935,TUBBERGEN,7651KE,Haarweg,None,g.j.hendriksen@hendriksen.nl,None,accounting,Postbus 3,b'None',None,None,6.786138,52.39906,,,,,,,,,,,,
Flynth adviseurs en accountants,32967,URK,8321RV,Vlaak,www.flynth.nl,Urk@flynth.nl,0527-68 16 41,accounting,Vlaak 4,b'Flynth adviseurs en accountants te Urk is een accountantskantoor voor de gehele MKB sector. Verder is er een specialisatie voor de visserijsector visverwerking en non-profitorganisaties (ANBI-instellingen stichtingen verenigingen en kerkgenootschappen). Wij kunnen u adviseren op verschillende gebieden zoals: fiscaal bedrijfseconomisch en subsidies. De diverse specialisten zijn op de vestiging Urk aanwezig.\r\n',https://twitter.com/flynth_urk,,5.618736191,52.66677619,,,,,,,,,,,,
Arenza,33048,POORTUGAAL,3171EE,Dorpsstraat b,www.arenza.nl,poortugaal@arenza.nl,010-5060797,managerial,Dorpsstraat 29b,b'',,,4.389060435,51.85615652,,,,,,,,,,,,
B&P Performance Group,33203,Capelle aan den IJssel,2901 LA,'s-Gravenweg,http://www.bpperformancegroup.com,info@bpperformancegroup.com,010 - 249 22 91,accounting,None,b'B&amp;P Performance Group biedt het totaalpakket voor een succesvolle onderneming. Natuurlijk kunt u bij ons terecht voor de reguliere accountantsdiensten maar B&amp;P gaat veel verder dan dat. U kunt vertrouwen op een breed scala aan diensten specialisten en producten. Dankzij onze innovatieve oplossingen beschikt u altijd en overal over actuele managementinformatie financi\xc3\xable en operationele data en HR-informatie. Maar daar blijft het niet bij. Onze adviseurs kunnen u helpen met de interpretatie van deze gegevens zodat u uw bedrijfsvoering kunt optimaliseren.\r\n',https://twitter.com/bpperformancegr,https://www.linkedin.com/company/b&p-accountants-en-advies,4.566149,51.926841,,,,,,,,,,,,
Het Belasting Hotel,33251,Gorinchem,4204SP,Smedenweg,www.hetbelastinghotel.nl,info@hetbelastinghotel.nl,085-4014736,managerial,None,b'',None,None,4.9495281,51.8370858,,,,,,,,,,,,
Verdoorn Adviesgroep,33283,Nijmegen,6546 BB,Kerkenbos,www.verdoornadvies.nl,info@verdoornadvies.nl,248482121,managerial,None,b'Boekhouding &amp; administratie uitbesteden?Zoek je een goede adviseur? Wil je jouw administratie uitbesteden? Dan ben je bij ons aan het juiste adres. Verdoorn Adviesgroep tilt financi\xc3\xable dienstverlening voor het MKB naar een nieuw niveau!Geen verhalen over saaie belastingregels onbegrijpelijke jaarrapporten en opmerkingen over hoe lastig ondernemen wel niet is maar duidelijkheid heldere financi\xc3\xable overzichten op het moment dat jij daar behoefte aan hebt.&nbsp;Wij zijn een modern kantoor in Nijmegen. We focussen ons namelijk met name op het zoveel mogelijk automatiseren van je administratie. Wij houden het aantal handmatige handelingen zo laag mogelijk. Dat houdt enerzijds de kosten voor jou laag maar anderzijds verlaagt het ook de kans op fouten in je administratie. Als extra voordeel heb je ook nog eens veel sneller en beter inzicht in je cijfers.Iedere klant krijgt een eigen online dossier op ons klantenportaal. Hier vind alle gegevensuitwisseling plaats en plaatsen wij uw jaarrekeningen en fiscale aangifte ter accordering. Dus geen dikke enveloppen met pakken papier meer over de post!Bij ons krijgt je te maken met een vaste contactpersoon die je persoonlijke coach is en alle zaken voor je afwikkelt. Hij helpt je bij het starten van de onderneming inschrijving Kamer van Koophandel aanmelden bij de Belastingdienst inrichten van de administratie en geeft tips om belasting te besparen. Iedere klant krijgt van ons gratis het door ons geschreven \xe2\x80\x9cE-Handboek Administratie\xe2\x80\x9d waarin vele tips en adviezen staan!Vraag daarom nu een gratis vrijblijvend adviesgesprek aan en ontdek de vele voordelen die zijn te behalen.',None,None,5.787242,51.8251115,,,,,,,,,,,,
Beta Financiële Raadgevers,33300,Amsterdam Zuidoost,1106 EM,Maldenhof,http://www.bfr.nl,info@bfr.nl,06 54251077,consultant,None,b'',,,4.968322,52.303384,,,,,,,,,,,,
HLB Van Daal & Partners,33357,Waalwijk,5144 NC,Prof. Asserweg ,www.hlb-van-daal.nl,waalwijk@hlb-van-daal.nl,0416-330505,accounting,None,b'HLB Van Daal & Partners is een deskundige en inspirerende accountants- en belastingadviesorganisatie met eendienstenpakket dat naadloos aansluit bij de behoefte van ondernemers binnen het MKB in Brabant en Limburg.Kennis van zaken en maximale inzet van ons regionale team en wereldwijde netwerk daar kunt u op vertrouwen!',None,None,5.0493918,51.6786163,,,,,,,,,,,,
HLB Van Daal & Partners N.V. - Heerlen,33358,Heerlen,6419 DJ,Nieuw Eyckholt,www.hlb-van-daal.nl,heerlen@hlb-van-daal.nl,045-5222121,accounting,None,b'HLB Van Daal &amp; Partners is een deskundige en inspirerende accountants- en belastingadviesorganisatie met een dienstenpakket dat naadloos aansluit bij de behoefte van ondernemers binnen het MKB in Brabant en Limburg.Kennis van zaken en maximale inzet van ons regionale team en wereldwijde netwerk daar kunt u op vertrouwen!\r\n',twitter.com/HLBVDP,www.linkedin.com/company/68703,5.9634306,50.8830685,,,,,,,,,,,,
Administratie- & Bedrijfsadviesbureau Reijnders,33359,Bergen op Zoom,4613AA,Noordzijde Zoom ,,rene@reijndersbelastingadvies.nl,0164-252933,managerial,None,b'',,,4.2886553,51.5012728,,,,,,,,,,,,
OctoJan,33363,Amsterdam,1052 VG,Gillis van Ledenberchstraat,http://octojan.nl,info@octojan.nl,020-2212269,managerial,None,b'OctoJan helpt ZZP\xe2\x80\x99ers en zelfstandige professionals met hun financi\xc3\xable huishouding. Wij verzorgen belastingaangiftes en helpen bij je administratie. Daarnaast zorgen we voor inzicht in je opbrengsten en kosten. Tot slot geven we je waar nodig advies. Als je klant&nbsp;wordt bij OctoJan kies je een bundel en&nbsp;je betaalt alleen voor wat je nodig hebt. Meer niet.',http://twitter.com/octojantjes,http://www.linkedin.com/company/octojan/,4.873071,52.3781994,,,,,,,,,,,,
VANDERLAANGROEP ,33366,NOORD-SCHARWOUDE,1723 HX,Kokkel,www.vanderlaangroep.nl,p.mul@vanderlaangroep.nl,0226-313376,accounting,None,b'Sinds 1928 coacht VANDERLAANGROEP ondernemers in het midden- en \r\nkleinbedrijf. Met onze diverse specialismen zijn wij als geen ander in \r\nstaat uw bedrijfsvoering geheel te ondersteunen; elk bedrijf coachen wij\r\n naar een topniveau.',,,4.8055218,52.7035464,,,,,,,,,,,,
Smarter Accounting,33368,Oisterwijk,5061KM,sprendlingenstraat,www.smarteraccounting.com,info@smarteraccounting.com,31639751971,managerial,None,b'Smarter Accounting is opgericht om ondernemerschap te stimuleren. We willen de startende en kleine ondernemer van dienst zijn met behulp van verschillende producten en pakketten. We bieden hulp bij het opstarten van een onderneming administratieve Excel sheets een Excel training en hulp bij het voeren van de administratie: Administratiekantoor 2.0.U kunt er via Smarter Accounting voor kiezen om uw administratie zelf te voeren door middel van onze handige Excel sheets of u maakt de keuze om deze gedeeltelijk of geheel aan ons uit te besteden. Wij helpen u graag! Hierin adviseren wij geheel vrijblijvend graag. Meer informatie vindt u op onze website.\r\n',https://www.twitter.com/smarteraccount,https://www.linkedin.com/company/Smarter-Accounting,5.1931169,51.5863426,,,,,,,,,,,,
Proceed Boekhouding en advies,33370,Lemmer,8532 BR,Intang 17,,janprocee@gmail.com,06 28330502,managerial,None,b'',,,5.7062157,52.8568765,,,,,,,,,,,,
PS Administratieve Dienstverlening,33372,Almere,1356 JC,Wilgengriend,,paul@psadmin.nl,036-5377876,managerial,None,b'',,,5.2411515,52.3401018,,,,,,,,,,,,
Heijmink Fiscaal Advies,33377,Bemmel,6681 CW,De Houtakker 51,www.heijminkfiscaaladvies.nl,dennis@fiscalemeester.nl,0481 - 47 11 66,managerial,None,b'\xc2\xa0Belasting besparen is plannen. Dat geldt voor een ondernemer maar steeds vaker ook voor een particulier. U wilt zich niet door de fiscus laten verrassen. Toch krijgt ook u steeds vaker te maken met fiscale en juridische vragen.De opeenvolgende ontwikkelingen maken het complex en vragen om een specialist. Een ervaren fiscaal jurist die met een kritische blik uw vragen beantwoordt. En u kansen aanreikt. Met mijn kennis en ervaring kan ik uw fiscale positie optimaliseren.Sinds 2011 heb ik Dennis Heijmink me als zelfstandig fiscaal jurist gevestigd. Achter de naam Heijmink Fiscaal Advies schuilen vele jaren kennis en kunde waarmee ik ervoor kan zorgen dat u op tijd weet waar u staat. Zodat repareren achteraf niet nodig is.',@dennisheijmink,http://nl.linkedin.com/in/dennisheijmink,5.9081104,51.8966602,,,,,,,,,,,,
Gewoon Accountants & Adviseurs ®,33378,IJmuiden,1976 CA,Dokweg,www.gewoonaccountants.nl,info@gewoonaccountants.nl,0255-522754,accounting,None,b'',Gewoon_AA,,4.60026,52.4609,,,,,,,,,,,,
AccountAnders Hendrik Ido Ambacht,33387,Hendrik Ido Ambacht,3344 EM,De Hooge Donck,www.accountanders.nl,wvandermeulen@accountanders.nl,085 760 8500,accounting,None,"b'Welkom bij h\xc3\xa9t alternatief voor uw accountant. Alles wat u als ondernemer nodig hebt om \xc3\xa9cht succesvol te zijn in \xc3\xa9\xc3\xa9n totaalpakket.&nbsp;Alles draait om het behalen van&nbsp;\xc3\xbaw doelen. We starten bij&nbsp;de strategie&nbsp;verzorgen uw administratie bieden u dagelijks actuele managementinformatie \xc3\xa9n onbeperkt advies door een&nbsp;businessfacilitator die dagelijks voor u klaar staat. Dit alles op basis van ""no growth no pay"".&nbsp;Bent u er klaar voor?'",@AccountAnders,http://www.linkedin.com/company/3270951?trk=tyah&trkInfo=tarId%3A1395919389035%2Ctas%3Aaccountanders%2Cidx%3A1-1-1,4.6435863,51.8301681,,,,,,,,,,,,
